A,Delta,G,T_e,T_p,Z,beta,k,logA,mach,n_p,seed_index,sigma_logA,x
4.338755301067451,0.0006665077985095191,4443559.080645155,3750.95511986569,3748.4567442132966,1.661231452427288,39.0625904912155,0,2.2727841943576936,0.034617055351275634,3.454599534340289e+25,-1,-0.5,-5.0
4.127151708083814,0.0007368109810761414,3639986.5647271303,3751.054243640916,3748.292460595664,1.6997160125116628,39.065036389460936,1,2.222784194357694,0.036395466845492476,3.4543375963140413e+25,-1,-0.5,-4.9
3.9258681441077057,0.000814555023580299,2981868.3044375074,3751.1642250025748,3748.111182210168,1.7423490598181002,39.067723479815264,2,2.172784194357694,0.0382656204332465,3.4540493696833016e+25,-1,-0.5,-4.8
3.7344012953852603,0.0009005335217782129,2442856.0920257727,3751.2862297313022,3747.9111101399762,1.7895721729316465,39.070676796718644,3,2.122784194357694,0.04023230977720556,3.453732116241895e+25,-1,-0.5,-4.7
3.5522723950640422,0.0009956262190347065,2001376.3633749706,3751.4215497819946,3747.6902511071717,1.8418742477492493,39.07392407161877,4,2.0727841943576943,0.042300588957954285,3.4533828042810575e+25,-1,-0.5,-4.6
3.3790260260265423,0.0011008087498929342,1639764.806432651,3751.5716177369836,3747.446395954562,1.899796799042448,39.07749603280429,5,2.0227841943576945,0.04447578824846676,3.4529980761447703e+25,-1,-0.5,-4.5
3.214228982110163,0.0012171635920812385,1343557.8335586425,3751.7380231983007,3747.1770956643772,1.96393994026899,39.08142673941089,6,1.9727841943576945,0.046763531106433165,3.4525742120375757e+25,-1,-0.5,-4.4
3.0574691848661657,0.0013458924066007683,1100912.4829398906,3751.9225314677697,3746.8796346190884,2.0349691555278238,39.08575395348133,7,1.9227841943576944,0.0491697525179422,3.452107089619896e+25,-1,-0.5,-4.3
2.90835465314891,0.0014883299805263928,902131.4687093189,3752.127104950603,3746.551000772582,2.11362300444015,39.09051955433461,8,1.8727841943576944,0.05170071884571744,3.45159213886187e+25,-1,-0.5,-4.2
2.7665125229588114,0.0016459600311291567,739274.3195182921,3752.353927832259,3746.187852358176,2.200721935710136,39.09576999988862,9,1.8227841943576943,0.05436304935829288,3.45102429155112e+25,-1,-0.5,-4.1
2.631588115088128,0.0018204331857549771,605839.0004116729,3752.6054347292925,3745.7864807130504,2.2971784310571923,39.101556839947904,10,1.7727841943576943,0.05716373964386522,3.4503979247620013e+25,-1,-0.5,-4.0
2.5032440482381983,0.0020135875234661427,496501.24164905533,3752.884344216302,3745.3427687460508,2.4040087620810846,39.10793728679115,11,1.7227841943576943,0.06011018714493996,3.4497067974901113e+25,-1,-0.5,-3.9
2.3811593953904593,0.0022274721571962086,406901.1141100701,3753.1936984017907,3744.8521445170622,2.5223467237751005,39.11497484861569,12,1.6727841943576942,0.06321021908832636,3.448943979533337e+25,-1,-0.5,-3.8
2.2650288813217347,0.002464374456651486,333468.28709488275,3753.536910093286,3744.3095293314054,2.6534598179063837,39.12274003144668,13,1.6227841943576942,0.06647212313083367,3.4481017715543288e+25,-1,-0.5,-3.7
2.15456211925717,0.002726851673192199,273278.95676505525,3753.917819595241,3743.709279681995,2.7987685080991356,39.13131111486865,14,1.5727841943576941,0.06990468109576477,3.4471716150837735e+25,-1,-0.5,-3.5999999999999996
2.0494828847520363,0.0030177679438943006,223938.70449373242,3754.340763879125,3743.045122296509,2.959869372588697,39.14077500619898,15,1.522784194357694,0.07351720624100054,3.446143991011282e+25,-1,-0.5,-3.5
1.9495284249867424,0.0033403379455325677,183486.58500801885,3754.8106618385814,3742.3100814694994,3.1385632636854277,39.15122817620098,16,1.472784194357694,0.07731958457862467,3.4450083048505544e+25,-1,-0.5,-3.4
1.8544488017479221,0.0036981788738972288,150316.59617897696,3755.3331207201363,3741.496397785085,3.3368899804201435,39.16277767664962,17,1.422784194357694,0.08132232086181748,3.4437527567444516e+25,-1,-0.5,-3.3
1.7640062664527147,0.004095372990388757,123113.37984248856,3755.914570796721,3740.595437274934,3.5571715260623025,39.175542235265205,18,1.372784194357694,0.08553658997118133,3.442364193774036e+25,-1,-0.5,-3.2
1.6779746656534689,0.00453654378456414,100799.57410764665,3756.5624382307797,3739.597590026972,3.8020668382881144,39.189653415493815,19,1.322784194357694,0.08997429457489364,3.4408279416266918e+25,-1,-0.5,-3.0999999999999996
1.5961388755363273,0.005026949971776995,82492.7051488619,3757.2853703404085,3738.492157295802,4.074642077766686,39.205256815320304,20,1.2727841943576939,0.09464813011173796,3.4391276120233362e+25,-1,-0.5,-3.0
1.518294263999637,0.0055726032790666125,67469.88924163968,3758.0935339274297,3737.2672263272507,4.378462353659227,39.22251325735181,21,1.2227841943576938,0.09957165836166293,3.437244881446999e+25,-1,-0.5,-2.9
1.44424617896711,0.006180418601815063,55138.92914542939,3758.9990172776343,3735.9095325082226,4.717713505498435,39.24159988598352,22,1.1727841943576938,0.10475939113611075,3.4351592355680047e+25,-1,-0.5,-2.8
1.373809461656239,0.0068584092063253,45014.64542023007,3760.0163821928995,3734.4043092978704,5.097366856201886,39.26271102625713,23,1.1227841943576937,0.11022688595412222,3.4328476721915696e+25,-1,-0.5,-2.6999999999999997
1.3068079835849,0.007615946213890945,36699.49315340764,3761.1634380387463,3732.7351280726434,5.52340676727142,39.28605855395405,24,1.0727841943576937,0.1159908559869523,3.4302843533873883e+25,-1,-0.5,-2.5999999999999996
1.243074206158403,0.008464112479947605,29867.686244291646,3762.462352974959,3730.883733405805,6.00315237568684,39.31187134502787,25,1.0227841943576936,0.12206929708339102,3.427440194054055e+25,-1,-0.5,-2.5
1.1824487617357395,0.009416199711798079,24252.191620357255,3763.941292615961,3728.829885720694,6.545724725941513,39.340393037319465,26,0.9727841943576936,0.12848163532949636,3.4242823697750655e+25,-1,-0.5,-2.4
1.1247800551274694,0.010488431406741716,19634.069981469565,3765.636913685708,3726.5512366563294,7.162746455656643,39.37187672218276,27,0.9227841943576935,0.1352488994102299,3.420773718687146e+25,-1,-0.5,-2.3
1.069923884528784,0.011701058175980217,15833.731972582995,3767.5983031959936,3724.0232900306396,7.869429206005083,39.40657396319608,28,0.8727841943576935,0.14239392295787273,3.4168719997567106e+25,-1,-0.5,-2.1999999999999997
1.0177430809398835,0.013080101157913582,12703.751714019047,3769.8934904078696,3721.219562104733,8.686341184287496,39.444713011610006,29,0.8227841943576935,0.14994158297619026,3.4125289472726907e+25,-1,-0.5,-2.0999999999999996
0.9681071651720289,0.01466030030637433,10122.933537274546,3772.620839112511,3718.1121977211255,9.642445452904726,39.486455444251305,30,0.7727841943576934,0.15791908069390484,3.407689018369293e+25,-1,-0.5,-2.0
0.9208920215816067,0.01649049690161397,7991.357045724392,3775.93048083553,3714.6736662516996,10.780710887540751,39.53180664494447,31,0.7227841943576934,0.1663562685882843,3.4022876397291882e+25,-1,-0.5,-1.9
0.8759795877163709,0.018644499859588937,6226.106824497988,3780.0687518625864,3710.881227340485,12.169515788536584,39.58041743889008,32,0.6727841943576933,0.17528601313997205,3.3962485435471585e+25,-1,-0.5,-1.7999999999999998
0.8332575590978161,0.021246319881661258,4757.231629790535,3785.483884494954,3706.7295233275395,13.929183576450582,39.63108971662531,33,0.6227841943576933,0.18474451835761965,3.3894791748808803e+25,-1,-0.5,-1.6999999999999997
