x,n_p,T_e,T_p,A,mach,v_p,n_e,beta,Z,J_x,J_y,E_x,velikhov_margin,sigma_logA
0.0,4.7587000000000106e+24,4900.0,4845.264517392291,0.0069,0.09689754049334405,396.8640525282895,2.3139557213964788e+21,72.97336967574657,79.99999999999977,144927.53623188406,-160868.6906873672,-1285.6782941613762,128587.00962067097,0.0
0.009550000000000001,4.716612073315783e+24,4871.9576242278,4817.623471477491,0.0066724625185889865,0.10138557967002394,414.05961978982975,2.2901730665928435e+21,73.83611852693106,73.92180075274803,149869.70660593058,-152073.38252899682,-1226.7613780986062,115107.14927061844,-3.5707827833425085
0.019100000000000002,4.676854289867589e+24,4845.111224662825,4791.443394158996,0.006450742324933881,0.10605037344855822,431.93226476332535,2.2675274301660799e+21,74.66981111198332,67.30734187671992,155020.91846619372,-141811.88780339688,-1153.8942362985701,104497.44093608233,-3.599085661038411
0.028650000000000005,4.6397788477803833e+24,4819.9188502659745,4767.00610824623,0.006235846392838556,0.11086472224153508,450.3876682195945,2.2462641127921156e+21,75.46292310701644,60.34159669941871,160363.15473524682,-130354.50467862096,-1068.9017977341878,95816.5558714357,-3.608522472311802
0.038200000000000005,4.6056347447622576e+24,4796.80403851981,4744.520079773632,0.00602880169753314,0.11579565949273272,469.308789921396,2.2265856415614084e+21,76.20531920391342,53.266724216743434,165870.44161846943,-118118.33616145623,-975.0146936144849,88194.86272421139,-3.596083250792747
0.04775,4.574543069579762e+24,4776.083630095548,4724.096365621976,0.005830694931668748,0.1208040523011266,488.55238766863624,2.2086266361555562e+21,76.8895086271323,46.34573424387483,171506.14321607107,-105607.18130320673,-876.4172514636668,80942.30405995462,-3.55775155585456
0.05730000000000001,4.5464956541890223e+24,4757.91728571617,4705.7452624662255,0.005642665569761759,0.1258443200294556,507.9466363216375,2.1924402091807707e+21,77.51139329525913,39.81753327832592,177221.20647356057,-93324.7640808705,-777.5128931105212,73667.72463956762,-3.4892974209016048
0.06685,4.5213753862554314e+24,4742.29746849857,4689.392598048417,0.0054658490284242,0.1308646724194474,527.2917574660946,2.1780001699053547e+21,78.07029237701643,33.86084373031429,182954.19335581234,-81694.80797615557,-682.1930479985601,66316.33782271585,-3.387364156269934
0.07640000000000001,4.4989691261973863e+24,4729.08308754117,4674.893787253782,0.005300482171939098,0.13582967193381523,546.4504516639408,2.1652084385537193e+21,78.56864849554222,28.582650028551246,188662.08159212914,-71035.00493221027,-593.5386176390606,59039.04913675002,-3.2668539655315363
0.08595,4.478983938161019e+24,4718.046535998956,4662.049705201717,0.005145538789301464,0.14073758861333782,565.4169437007656,2.1539086880679899e+21,79.0114719490631,24.02384392273264,194343.10787418156,-61550.7024351795,-513.694672283287,52039.44288680173,-3.1531076990927986
