active_A_max,active_A_min,active_G_active_count_excluding_anchor,active_G_margin_near_count_excluding_anchor,active_G_min_excluding_anchor,active_Te_max_K,active_Te_min_K,active_Tp_floor_active_count_excluding_anchor,active_Tp_floor_margin_near_count_excluding_anchor,active_Tp_max_K,active_Tp_min_K,active_Tp_min_excluding_anchor_K,active_logA_max,active_logA_min,active_mach_max,active_mach_min,active_n_steps_completed,active_n_steps_requested,active_sigma_max,active_sigma_min,case_id,design_B_T,design_I_0,design_T_e_in,design_Z_in,design_a1,design_a2,design_a3,design_log_n_p_in,design_log_seed_fraction,elapsed_s,failure,max_abs_scaled_residual,n_steps_completed,objective_delta_improvement,objective_delta_improvement_reward,objective_failure_penalty,objective_inlet_delta_penalty,objective_inlet_te_shortfall_penalty,objective_inlet_tp_shortfall_penalty,objective_raw_score_before_failure_gate,objective_target_g_margin,objective_target_ok,objective_target_tp_margin,ok,optimizer_source,outer_B_T,outer_B_T_missing,outer_G_shortfall_penalty,outer_area_ratio,outer_area_ratio_missing,outer_area_ratio_penalty,outer_delta_improvement,outer_delta_improvement_reward,outer_failure_penalty,outer_incomplete_rollout_penalty,outer_mach_excess_penalty,outer_mach_max,outer_magnetic_field_penalty,outer_max_te_K,outer_max_te_excess_penalty,outer_min_G,outer_min_tp_K,outer_min_tp_shortfall_penalty,outer_score,outer_score_before_failure,outlet_A,outlet_Delta,outlet_G,outlet_T_e,outlet_T_p,outlet_Z,outlet_beta,outlet_logA,outlet_mach,outlet_n_p,outlet_sigma_logA,outlet_x,preparation_inlet_A,preparation_inlet_Delta,preparation_inlet_G,preparation_inlet_T_e,preparation_inlet_T_p,preparation_inlet_Z,preparation_inlet_beta,preparation_inlet_logA,preparation_inlet_mach,preparation_inlet_n_p,preparation_inlet_sigma_logA,preparation_inlet_x,scan_best_residual_constraint_violation,scan_best_residual_delta_gain,scan_best_residual_feasible,scan_best_residual_least_squares_nfev,scan_best_residual_margin_G,scan_best_residual_margin_Tp,scan_best_residual_margin_residual,scan_best_residual_max_abs_scaled_residual,scan_best_residual_objective_value,scan_best_residual_ok,scan_best_residual_sigma,scan_best_violation_constraint_violation,scan_best_violation_delta_gain,scan_best_violation_feasible,scan_best_violation_least_squares_nfev,scan_best_violation_margin_G,scan_best_violation_margin_Tp,scan_best_violation_margin_residual,scan_best_violation_max_abs_scaled_residual,scan_best_violation_objective_value,scan_best_violation_ok,scan_best_violation_sigma,scan_feasible_count,scan_left_endpoint_constraint_violation,scan_left_endpoint_delta_gain,scan_left_endpoint_feasible,scan_left_endpoint_least_squares_nfev,scan_left_endpoint_margin_G,scan_left_endpoint_margin_Tp,scan_left_endpoint_margin_residual,scan_left_endpoint_max_abs_scaled_residual,scan_left_endpoint_objective_value,scan_left_endpoint_ok,scan_left_endpoint_sigma,scan_n_scan,scan_right_endpoint_constraint_violation,scan_right_endpoint_delta_gain,scan_right_endpoint_feasible,scan_right_endpoint_least_squares_nfev,scan_right_endpoint_margin_G,scan_right_endpoint_margin_Tp,scan_right_endpoint_margin_residual,scan_right_endpoint_max_abs_scaled_residual,scan_right_endpoint_objective_value,scan_right_endpoint_ok,scan_right_endpoint_sigma,scan_sigma_max,scan_sigma_min,score,support_G_supported,support_curvature_lower_supported,support_no_feasible_sigma,support_residual_supported,"support_sigma_box,curvature_lower_supported",support_sigma_box_lower_supported,termination_bound_source_lower,termination_bound_source_upper,termination_error,termination_least_squares_nfev,termination_margin_G,termination_margin_Tp,termination_margin_residual,termination_max_abs_scaled_residual,termination_ok,termination_reason,termination_sigma,termination_sigma_interval_lower,termination_sigma_interval_upper,termination_solver_method,termination_step,termination_support_type
4.348379798614269,0.447,0,0,60462.43276613826,5008.422690024858,4335.566447457385,0,0,4329.077388768435,4078.389279809893,4085.816058838096,2.2750000000000004,0.0,0.2805944668091603,0.02584728577620237,50,50,0.0,-0.5,0,10.2,1306.058468642334,5008.422690024854,80.75293563364994,0.1734697727255258,0.37530533787502696,0.6163516395254951,58.710774545198156,-13.204225110040323,0.22043835000658873,,3.925861437423901e-12,50,0.2265404443744139,0.2265404443744139,0.0,7.494736298530036e-05,2.77033905082963,0.0,-2.5438735538182016,136864.47092987236,1.0,3778.389279809893,True,lbfgsb_seed_0,10.2,0.0,0.0,9.727919012559887,0.0,0.0,0.2265404443744139,0.2265404443744139,0.0,0.0,0.0,0.2805944668091603,0.0,5008.422690024858,0.0,60462.43276613826,4078.389279809893,0.0,0.2265404443744139,0.2265404443744139,0.447,0.2280393916341199,136864.47091987237,5008.422690024858,4078.389279809893,80.75293563364991,37.120497180498894,0.0,0.2805944668091603,3.1460484982003942e+25,0.0,0.0,4.348379798614269,0.0014989472597060072,34325959.61268475,4335.566447457385,4329.077388768435,67.48140435540303,36.834134783682096,2.2750000000000004,0.02584728577620237,3.4076602521169593e+25,-0.5,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5438735538182016,,9,,,1,40,sigma_box,curvature,,3,34325959.61269475,4029.0773887684354,9.99999371926911e-09,6.2807308906981045e-15,True,completed_requested_steps,-0.5,-0.5,-0.45,direct_preferred_endpoint,49,sigma_box_lower_supported
4.348379798614269,0.447,0,0,60399.19191592573,5008.422690024858,4335.756279952497,0,0,4329.2659215889835,4078.856766238811,4086.27770138191,2.2750000000000004,0.0,0.2802090514293215,0.02581493246216626,50,50,0.0,-0.5,1,10.2,1306.058468642334,5008.422690024854,80.75293563364994,0.1734697727255258,0.37530533787502696,0.6163516395254951,58.71226080281549,-13.204225110040323,0.22092231099668425,,3.917421134675748e-12,50,0.22639946124410448,0.22639946124410448,0.0,7.495910947797891e-05,2.7697071597175524,0.0,-2.543382657582926,136588.77203297647,1.0,3778.856766238811,True,lbfgsb_seed_0,10.2,0.0,0.0,9.727919012559887,0.0,0.0,0.22639946124410448,0.22639946124410448,0.0,0.0,0.0,0.2802090514293215,0.0,5008.422690024858,0.0,60399.19191592573,4078.856766238811,0.0,0.22639946124410448,0.22639946124410448,0.447,0.22789864343366406,136588.77202297648,5008.422690024858,4078.856766238811,80.75293563365007,37.065367537380574,0.0,0.2802090514293215,3.150727813217782e+25,0.0,0.0,4.348379798614269,0.001499182189559578,34263293.408867925,4335.756279952497,4329.2659215889835,67.5157141954023,36.78180611151348,2.2750000000000004,0.02581493246216626,3.4124335501549602e+25,-0.5,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.543382657582926,,9,,,1,40,sigma_box,curvature,,3,34263293.408877924,4029.2659215889835,9.99999163650955e-09,8.363490451184681e-15,True,completed_requested_steps,-0.5,-0.5,-0.45,direct_preferred_endpoint,49,sigma_box_lower_supported
4.348379798614269,0.447,0,0,62735.55208442734,5014.92269002485,4341.436875888077,0,0,4334.9100783067815,4083.932127761379,4091.361914986542,2.2750000000000004,0.0,0.2804178097490635,0.025831396047085536,50,50,0.0,-0.5,2,10.2,1306.058468642334,5014.922690024854,80.75293563364994,0.1734697727255258,0.37530533787502696,0.6163516395254951,58.710774545198156,-13.204225110040323,0.22015438399103004,,7.406861844231552e-12,50,0.2264586230230523,0.2264586230230523,0.0,7.528181050349138e-05,2.7508316366639014,0.0,-2.5244482954513527,141477.9839214958,1.0,3783.932127761379,True,lbfgsb_seed_0,10.2,0.0,0.0,9.727919012559887,0.0,0.0,0.2264586230230523,0.2264586230230523,0.0,0.0,0.0,0.2804178097490635,0.0,5014.92269002485,0.0,62735.55208442734,4083.932127761379,0.0,0.2264586230230523,0.2264586230230523,0.447,0.22796425923312214,141477.9839114958,5014.92269002485,4083.932127761379,80.75293563364973,37.09643285478507,0.0,0.2804178097490635,3.1460484982003942e+25,0.0,0.0,4.348379798614269,0.0015056362100698273,35310708.909050316,4341.436875888077,4334.9100783067815,67.70629221939132,36.809553236653805,2.2750000000000004,0.025831396047085536,3.4076296864430643e+25,-0.5,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5244482954513527,,9,,,1,40,sigma_box,curvature,,3,35310708.909060314,4034.9100783067815,9.999989879013229e-09,1.0120986771787711e-14,True,completed_requested_steps,-0.5,-0.5,-0.45,direct_preferred_endpoint,49,sigma_box_lower_supported
4.348379798614269,0.447,0,0,59395.329412492436,5008.422690024858,4332.582652000097,0,0,4326.086027529027,4075.0846708163826,4082.525904954387,2.2750000000000004,0.0,0.2807418688197871,0.025855699502622218,50,50,0.0,-0.5,3,10.2,1306.058468642334,5008.422690024854,80.92793563364994,0.1734697727255258,0.37530533787502696,0.6163516395254951,58.710774545198156,-13.204225110040323,0.22042776299349498,,4.057303391965106e-12,50,0.22753351318090576,0.22753351318090576,0.0,7.508663061401856e-05,2.7802806124110284,0.0,-2.5528221858607365,135966.50707613138,1.0,3775.0846708163826,True,lbfgsb_seed_0,10.2,0.0,0.0,9.727919012559887,0.0,0.0,0.22753351318090576,0.22753351318090576,0.0,0.0,0.0,0.2807418688197871,0.0,5008.422690024858,0.0,59395.329412492436,4075.0846708163826,0.0,0.22753351318090576,0.22753351318090576,0.447,0.22903524579318613,135966.5070661314,5008.422690024858,4075.0846708163826,80.92793563364992,37.120497180498894,0.0,0.2807418688197871,3.1460484982003942e+25,0.0,0.0,4.348379798614269,0.001501732612280371,33549262.349518225,4332.582652000097,4326.086027529027,67.55122572342125,36.841656769248694,2.2750000000000004,0.025855699502622218,3.408137472851957e+25,-0.5,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5528221858607365,,9,,,1,40,sigma_box,curvature,,3,33549262.349528223,4026.086027529027,9.999993192803272e-09,6.8071967285993606e-15,True,completed_requested_steps,-0.5,-0.5,-0.45,direct_preferred_endpoint,49,sigma_box_lower_supported
4.348379798614269,0.447,0,0,59144.445796179,5008.422690024858,4332.071603161401,0,0,4325.576679206427,4074.1118225437567,4081.562852998695,2.2750000000000004,0.0,0.2813865881040859,0.025909442434388932,50,50,0.0,-0.5,4,10.2,1309.058468642334,5008.422690024854,80.75293563364994,0.1734697727255258,0.37530533787502696,0.6163516395254951,58.710774545198156,-13.204225110040323,0.21987572000944056,,4.0835510881875185e-12,50,0.22782720812299173,0.22782720812299173,0.0,7.507581574263124e-05,2.781985136980579,0.0,-2.55423300467333,135703.915147052,1.0,3774.1118225437567,True,lbfgsb_seed_0,10.2,0.0,0.0,9.727919012559887,0.0,0.0,0.22782720812299173,0.22782720812299173,0.0,0.0,0.0,0.2813865881040859,0.0,5008.422690024858,0.0,59144.445796179,4074.1118225437567,0.0,0.22782720812299173,0.22782720812299173,0.447,0.22932872443784436,135703.915137052,5008.422690024858,4074.1118225437567,80.75293563364991,37.120497180498894,0.0,0.2813865881040859,3.1460484982003942e+25,0.0,0.0,4.348379798614269,0.0015015163148526245,33440135.9485182,4332.071603161401,4325.576679206427,67.34279195700402,36.838048341689564,2.2750000000000004,0.025909442434388932,3.4086723534661624e+25,-0.5,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.55423300467333,,9,,,1,40,sigma_box,curvature,,3,33440135.9485282,4025.576679206427,9.999992663028184e-09,7.336971815387822e-15,True,completed_requested_steps,-0.5,-0.5,-0.45,direct_preferred_endpoint,49,sigma_box_lower_supported
4.348379798614269,0.447,0,0,65033.37500808478,5008.422690024858,4350.732276517375,0,0,4344.290862413306,4095.8657039127083,4103.252180910154,2.2750000000000004,0.0,0.27735200431575824,0.025580320894514147,50,50,0.0,-0.5,5,10.2,1306.058468642334,5008.422690024854,80.75293563364994,0.1734697727255258,0.37530533787502696,0.6163516395254951,58.710774545198156,-13.194725110040324,0.2198139899992384,,6.393698209281379e-12,50,0.22131680704026935,0.22131680704026935,0.0,7.413654274164295e-05,2.720084023721561,0.0,-2.4988413532240337,139097.98239227186,1.0,3795.8657039127083,True,lbfgsb_seed_0,10.2,0.0,0.0,9.727919012559887,0.0,0.0,0.22131680704026935,0.22131680704026935,0.0,0.0,0.0,0.27735200431575824,0.0,5008.422690024858,0.0,65033.37500808478,4095.8657039127083,0.0,0.22131680704026935,0.22131680704026935,0.447,0.2227995378951022,139097.98238227188,5008.422690024858,4095.8657039127083,80.75293563364991,37.120497180498894,0.0,0.27735200431575824,3.1460484982003942e+25,0.0,0.0,4.348379798614269,0.0014827308548328588,37963788.31640863,4350.732276517375,4344.290862413306,67.89042004570642,36.801397484994084,2.2750000000000004,0.025580320894514147,3.404741891281516e+25,-0.5,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4988413532240337,,9,,,1,40,sigma_box,curvature,,3,37963788.316418625,4044.290862413306,9.999987850657015e-09,1.2149342984257907e-14,True,completed_requested_steps,-0.5,-0.5,-0.45,direct_preferred_endpoint,49,sigma_box_lower_supported
0.44924059682415224,0.447,0,0,162288.1341433743,4987.149138670839,4970.376071168505,0,1,-27315.76917011498,-27344.961086002128,-27315.76917011498,0.005000000000000001,0.0,99.88646333734607,99.55123851923041,1,50,0.0,-0.05,6,10.2,1460.470118471674,4987.149138670841,87.70441727909295,0.1734697727255258,0.37530533787502696,0.6163516395254951,58.702393055144604,-14.8,0.06582426100794692,"target_anchor_infeasible: G_margin=176177, Tp_margin=-27645",4.4232300766158717e-16,1,1.6773067502334185e+301,1.6773067502334185e+301,1000000.0,2.485188035584253e+302,1.0601254348224025,919.0458603756941,-2.317457360560911e+302,176177.07792392673,0.0,-27644.961086002128,False,lbfgsb_seed_0,10.2,0.0,0.0,1.005012520859401,0.0,0.0,1.6773067502334185e+301,1.6773067502334185e+301,1000000.0,980.0,90034.4092466952,99.88646333734607,0.0,4987.149138670839,0.0,162288.1341433743,-27344.961086002128,764.2438734465719,-1091778.6531201417,1.6773067502334185e+301,0.447,4.9871491386708395e+303,176177.07791392674,4987.149138670839,-27344.961086002128,87.7044172790927,37.51268312828855,0.0,99.88646333734607,3.119790119892419e+25,0.0,0.0,0.44924059682415224,4.9703760711685054e+303,162288.1341433743,4970.376071168505,-27315.76917011498,88.27668176240354,37.63753609680203,0.005000000000000001,99.55123851923041,3.1146831607699124e+25,-0.05,-0.1,27646.350056107265,1.3056709129765259e+301,False,4,188200.274951488,-27646.350056107265,9.999999708317925e-09,2.916820751264484e-16,-1.3056709129765259e+301,True,0.012499999999999997,27615.76917011498,-1.6773067502334185e+301,False,4,162288.1341533743,-27615.76917011498,9.999999557676993e-09,4.4232300766158717e-16,1.6773067502334185e+301,True,-0.05,0,27615.76917011498,-1.6773067502334185e+301,False,4,162288.1341533743,-27615.76917011498,9.999999557676993e-09,4.4232300766158717e-16,1.6773067502334185e+301,True,-0.05,41,27664.772523674063,3.071216802559647e+301,False,4,205265.37243717044,-27664.772523674063,9.999998787112451e-09,1.2128875481314596e-15,-3.071216802559647e+301,True,0.05,0.05,-0.05,-1000000.0,,,1,,,,curvature,curvature,no feasible sigma on scan grid,4,162288.1341533743,-27615.76917011498,9.999999557676993e-09,4.4232300766158717e-16,False,no_feasible_sigma,-0.05,-0.05,0.05,legacy_scan,0,no_feasible_sigma
0.44924059682415224,0.447,0,0,161788.92206082746,4987.149138670839,4970.352861211878,0,1,-27301.291291596088,-27330.43440807072,-27301.291291596088,0.005000000000000001,0.0,99.75577251338224,99.42082007926885,1,50,0.0,-0.05,7,10.2,1460.470118471674,4987.149138670841,87.70441727909295,0.1734697727255258,0.37530533787502696,0.6163516395254951,58.70387931276195,-14.8,0.06602362399280537,"target_anchor_infeasible: G_margin=175656, Tp_margin=-27630.4",1.5137540913133117e-16,1,1.67962774589619e+301,1.67962774589619e+301,1000000.0,2.485176430605939e+302,1.0601732304145663,918.1682539381568,-2.31721365601632e+302,175656.45295687878,0.0,-27630.43440807072,False,lbfgsb_seed_0,10.2,0.0,0.0,1.005012520859401,0.0,0.0,1.67962774589619e+301,1.67962774589619e+301,1000000.0,980.0,89786.56424607846,99.75577251338224,0.0,4987.149138670839,0.0,161788.92206082746,-27330.43440807072,763.4409055786983,-1091530.0051516572,1.67962774589619e+301,0.447,4.9871491386708395e+303,175656.4529468788,4987.149138670839,-27330.43440807072,87.70441727909324,37.456971028765025,0.0,99.75577251338224,3.1244303791788002e+25,0.0,0.0,0.44924059682415224,4.9703528612118776e+303,161788.92206082746,4970.352861211878,-27301.291291596088,88.27679611873063,37.58166348551184,0.005000000000000001,99.42082007926885,3.119321039352244e+25,-0.05,-0.1,27601.291291596088,-1.67962774589619e+301,False,4,161788.92207082745,-27601.291291596088,9.999999848624592e-09,1.5137540913133117e-16,1.67962774589619e+301,True,-0.05,27601.291291596088,-1.67962774589619e+301,False,4,161788.92207082745,-27601.291291596088,9.999999848624592e-09,1.5137540913133117e-16,1.67962774589619e+301,True,-0.05,0,27601.291291596088,-1.67962774589619e+301,False,4,161788.92207082745,-27601.291291596088,9.999999848624592e-09,1.5137540913133117e-16,1.67962774589619e+301,True,-0.05,41,27650.19379049173,3.074579152687409e+301,False,4,204694.0768110224,-27650.19379049173,9.99999690001721e-09,3.0999827912530127e-15,-3.074579152687409e+301,True,0.05,0.05,-0.05,-1000000.0,,,1,,,,curvature,curvature,no feasible sigma on scan grid,4,161788.92207082745,-27601.291291596088,9.999999848624592e-09,1.5137540913133117e-16,False,no_feasible_sigma,-0.05,-0.05,0.05,legacy_scan,0,no_feasible_sigma
0.44924059682415224,0.447,0,0,167754.95217801165,4993.649138670839,4976.871935527428,0,1,-27344.674798663422,-27373.88462206556,-27344.674798663422,0.005000000000000001,0.0,99.89368398896157,99.55834255574598,1,50,0.0,-0.05,8,10.2,1460.470118471674,4993.649138670841,87.70441727909295,0.1734697727255258,0.37530533787502696,0.6163516395254951,58.702393055144604,-14.8,0.06575912400148809,"target_anchor_infeasible: G_margin=182076, Tp_margin=-27673.9",2.6236541918050924e-15,1,1.6777203143411183e+301,1.6777203143411183e+301,1000000.0,2.488435967763714e+302,1.0467910363113915,920.7992886366391,-2.3206639363296023e+302,182075.95822934655,0.0,-27673.88462206556,False,lbfgsb_seed_0,10.2,0.0,0.0,1.005012520859401,0.0,0.0,1.6777203143411183e+301,1.6777203143411183e+301,1000000.0,980.0,90048.11260996902,99.89368398896157,0.0,4993.649138670839,0.0,167754.95217801165,-27373.88462206556,765.8438900753968,-1091793.9565000443,1.6777203143411183e+301,0.447,4.993649138670839e+303,182075.95821934656,4993.649138670839,-27373.88462206556,87.7044172790927,37.48826092404829,0.0,99.89368398896157,3.119790119892419e+25,0.0,0.0,0.44924059682415224,4.976871935527428e+303,167754.95217801165,4976.871935527428,-27344.674798663422,88.27655200500243,37.612930725678304,0.005000000000000001,99.55834255574598,3.1146860509464984e+25,-0.05,-0.1,27681.40769046036,1.8955565946864222e+301,False,4,200190.57562613272,-27681.40769046036,9.999999785532997e-09,2.1446700427400271e-16,-1.8955565946864222e+301,True,0.024999999999999994,27644.674798663422,-1.6777203143411183e+301,False,4,167754.95218801164,-27644.674798663422,9.999997376345809e-09,2.6236541918050924e-15,1.6777203143411183e+301,True,-0.05,0,27644.674798663422,-1.6777203143411183e+301,False,4,167754.95218801164,-27644.674798663422,9.999997376345809e-09,2.6236541918050924e-15,1.6777203143411183e+301,True,-0.05,41,27693.687047131658,3.0709517943759206e+301,False,4,212052.792495414,-27693.687047131658,9.99999926092913e-09,7.390708713156366e-16,-3.0709517943759206e+301,True,0.05,0.05,-0.05,-1000000.0,,,1,,,,curvature,curvature,no feasible sigma on scan grid,4,167754.95218801164,-27644.674798663422,9.999997376345809e-09,2.6236541918050924e-15,False,no_feasible_sigma,-0.05,-0.05,0.05,legacy_scan,0,no_feasible_sigma
0.44924059682415224,0.447,0,0,162221.77732735733,4987.149138670839,4970.297525304619,0,1,-27424.051509490135,-27453.286411697423,-27424.051509490135,0.005000000000000001,0.0,99.89814865264793,99.56249401970335,1,50,0.0,-0.05,9,10.2,1460.470118471674,4987.149138670841,87.87941727909295,0.1734697727255258,0.37530533787502696,0.6163516395254951,58.702393055144604,-14.8,0.06579817899910267,"target_anchor_infeasible: G_margin=176177, Tp_margin=-27753.3",1.8398079624318245e-15,1,1.6851613366220828e+301,1.6851613366220828e+301,1000000.0,2.4851487626523095e+302,1.060287186393792,925.6229102521089,-2.3166326289901012e+302,176177.07792392673,0.0,-27753.286411697423,False,lbfgsb_seed_0,10.2,0.0,0.0,1.005012520859401,0.0,0.0,1.6851613366220828e+301,1.6851613366220828e+301,1000000.0,980.0,90056.58617700064,99.89814865264793,0.0,4987.149138670839,0.0,162221.77732735733,-27453.286411697423,770.2449066497089,-1091806.8310836502,1.6851613366220828e+301,0.447,4.9871491386708395e+303,176177.07791392674,4987.149138670839,-27453.286411697423,87.87941727909276,37.51268312828855,0.0,99.89814865264793,3.119790119892419e+25,0.0,0.0,0.44924059682415224,4.970297525304619e+303,162221.77732735733,4970.297525304619,-27424.051509490135,88.45346019990234,37.63768583142639,0.005000000000000001,99.56249401970335,3.1146953801275272e+25,-0.05,-0.1,27728.930142069155,-1.202781515518045e+301,False,4,166176.6734109276,-27728.930142069155,9.999999897214178e-09,1.0278582204712553e-16,1.202781515518045e+301,True,-0.04,27724.051509490135,-1.6851613366220828e+301,False,4,162221.7773373573,-27724.051509490135,9.999998160192039e-09,1.8398079624318245e-15,1.6851613366220828e+301,True,-0.05,0,27724.051509490135,-1.6851613366220828e+301,False,4,162221.7773373573,-27724.051509490135,9.999998160192039e-09,1.8398079624318245e-15,1.6851613366220828e+301,True,-0.05,41,27773.11458610282,3.0779468707228832e+301,False,4,205336.00890914665,-27773.11458610282,9.999998366689544e-09,1.6333104562297137e-15,-3.0779468707228832e+301,True,0.05,0.05,-0.05,-1000000.0,,,1,,,,curvature,curvature,no feasible sigma on scan grid,4,162221.7773373573,-27724.051509490135,9.999998160192039e-09,1.8398079624318245e-15,False,no_feasible_sigma,-0.05,-0.05,0.05,legacy_scan,0,no_feasible_sigma
