A,Delta,G,T_e,T_p,Z,beta,k,logA,mach,n_p,seed_index,sigma_logA,x
0.447,0.430264726387001,86326.9275316247,5005.431092129335,3499.6535954386436,81.73048928772342,37.17537934234362,0,0.0,0.3823011959532709,3.1423425959912296e+25,-1,0.0,0.0
0.44924059682415224,0.4194328365614295,77851.96378425871,4980.417383074589,3508.737613214325,81.35630917569088,37.118105289054256,1,0.005000000000000001,0.37836746440775443,3.155084647268752e+25,-1,-0.05,-0.1
0.45375553988322637,0.4038953390509892,66178.07034884677,4941.435018049821,3519.8029942817193,81.02281705195139,37.08804834585297,2,0.015000000000000003,0.37224507716407323,3.170072247674513e+25,-1,-0.1,-0.2
0.46061317667722207,0.3841766749121842,53261.03817355734,4889.828996253448,3532.6624735701976,80.71228013483767,37.08545007978909,3,0.030000000000000006,0.3640931570871701,3.186979683784303e+25,-1,-0.15000000000000002,-0.30000000000000004
0.4699181800800828,0.36088135637103025,40775.88348977872,4827.094133642913,3547.0352437739293,80.39725470230647,37.110882894308745,4,0.05000000000000001,0.35411043802699493,3.2054242201462256e+25,-1,-0.2,-0.4
0.4818142154454303,0.33463861446384047,29827.84621114823,4754.730343982485,3562.5601510807364,80.03615969266694,37.16536883085039,5,0.07500000000000001,0.34252339321472425,3.2249894024281004e+25,-1,-0.25,-0.5
0.4964876428290002,0.3060453071380498,20918.530978695915,4674.086193983559,3578.8086128695877,79.56554426966332,37.25062703649167,6,0.10500000000000001,0.3295746672494417,3.245246863213684e+25,-1,-0.3,-0.6000000000000001
0.5141723880891806,0.27560564567883516,14079.283026562374,4586.170846491192,3595.288921797287,78.88582429760724,37.369595720527975,7,0.14,0.31551311921372,3.2657743275702153e+25,-1,-0.35,-0.7000000000000001
0.5351561613154492,0.24365254488159915,9059.134134149786,4491.356843559878,3611.4241570482,77.83191855922665,37.52763193587986,8,0.18000000000000002,0.3005866712259593,3.2861678582767937e+25,-1,-0.39999999999999997,-0.8
0.5597882541377635,0.21018820399421645,5486.276442852285,4388.6779249404835,3626.4424908916544,76.10028702550595,37.73583993699134,9,0.22500000000000003,0.2850402919563353,3.3060453655243053e+25,-1,-0.44999999999999996,-0.9
0.5884892116658268,0.1742910226444343,2957.001315811227,4273.005549937442,3638.796062934114,72.98610571492685,38.024843203946176,10,0.275,0.2691326288447963,3.32502966627684e+25,-1,-0.49999999999999994,-1.0
0.6172923823004355,0.1325247058257486,998.194417350288,4120.200902764943,3638.067126986704,65.6809647389782,38.53605638834661,11,0.32278419435769323,0.255358165992994,3.34120574574432e+25,-1,-0.47784194357693194,-1.1
0.6489416395255466,0.049653445731154155,405.8523512150332,3843.00622796147,3661.2143213463737,29.691335038392797,39.75339657840396,12,0.3727841943576932,0.24123544766702978,3.3536667067362314e+25,-1,-0.5,-1.2000000000000002
0.6822135888680759,0.037716282072940865,1067.2597242484137,3813.3280657091764,3674.7308793225025,22.22510357613374,39.78025237913107,13,0.4227841943576932,0.2283158388956126,3.3644189140457004e+25,-1,-0.5,-1.3
0.7171914275319643,0.031311374905467204,1795.3599656041947,3799.257020337907,3683.90877167059,18.230553802367737,39.74212018886834,14,0.4727841943576932,0.21630193440299322,3.373877539472195e+25,-1,-0.5,-1.4000000000000001
0.7539626183330138,0.02684557190773207,2640.2212631367456,3790.4180850889516,3691.3224235333632,15.541511602750408,39.68979538455945,15,0.5227841943576932,0.20503649548881211,3.3822621620876153e+25,-1,-0.5,-1.5
0.7926191084014853,0.023394746966364455,3642.1471497200337,3784.13603311945,3697.6308939797814,13.537447064875073,39.63525209176666,16,0.5727841943576932,0.19444117433025251,3.3897267451476296e+25,-1,-0.5,-1.6
0.8332575590978161,0.02058624440999801,4842.551326429693,3779.3515924724975,3703.118294189184,11.956798567068574,39.58250948886604,17,0.6227841943576933,0.18445841586401626,3.3963912410884607e+25,-1,-0.5,-1.7000000000000002
0.8759795877163709,0.0182306376733421,6288.642691056031,3775.544441425998,3707.946217423903,10.664866554955132,39.53305828964679,18,0.6727841943576933,0.17504070896489193,3.4023538483789518e+25,-1,-0.5,-1.8
